symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-07-01 14:30:00+00:00,293.06,293.53,292.73,293.12,491465.0,14946.0,293.108113
AAPL,2026-07-01 14:35:00+00:00,293.14,293.64,293.04,293.57,438942.0,12883.0,293.398007
AAPL,2026-07-01 14:40:00+00:00,293.58,294.84,293.45,294.83,644306.0,15494.0,294.13546
AAPL,2026-07-01 14:45:00+00:00,294.82,294.89,294.0,294.88,729125.0,18659.0,294.403018
AAPL,2026-07-01 14:50:00+00:00,294.85,295.02,294.36,294.49,664805.0,17618.0,294.688902
AAPL,2026-07-01 14:55:00+00:00,294.5,295.08,294.14,294.63,821644.0,19201.0,294.70448
AAPL,2026-07-01 15:00:00+00:00,294.635,295.1,294.42,294.87,386445.0,12978.0,294.780675
AAPL,2026-07-01 15:05:00+00:00,294.875,295.35,294.52,294.705,378612.0,13595.0,294.902691
AAPL,2026-07-01 15:10:00+00:00,294.69,295.0391,294.27,294.61,349806.0,12681.0,294.653698
AAPL,2026-07-01 15:15:00+00:00,294.61,295.68,294.51,295.645,552163.0,14961.0,295.290523
AAPL,2026-07-01 15:20:00+00:00,295.66,296.53,295.5801,296.36,647823.0,15588.0,296.198961
AAPL,2026-07-01 15:25:00+00:00,296.36,296.59,295.52,295.7517,721517.0,14830.0,295.904277
AAPL,2026-07-01 15:30:00+00:00,295.78,295.79,294.81,294.99,440431.0,13145.0,295.232002
AAPL,2026-07-01 15:35:00+00:00,294.99,295.07,294.725,294.7501,338860.0,11933.0,294.887217
AAPL,2026-07-01 15:40:00+00:00,294.77,295.29,294.74,294.94,370860.0,13045.0,294.961436
AAPL,2026-07-01 15:45:00+00:00,294.94,295.25,294.84,295.2,296518.0,11312.0,295.036106
AAPL,2026-07-01 15:50:00+00:00,295.22,295.42,294.9464,295.19,283850.0,11302.0,295.253949
AAPL,2026-07-01 15:55:00+00:00,295.18,295.41,294.63,295.24,304768.0,10992.0,295.08151
AAPL,2026-07-01 16:00:00+00:00,295.25,295.58,295.04,295.415,226318.0,10242.0,295.287743
AAPL,2026-07-01 16:05:00+00:00,295.415,295.71,295.275,295.48,297139.0,10687.0,295.514349
